id,libro,capitulo,verso,texto
23141,Mateo,1,1,"1 Antepasados de Jesús el Mesías El siguiente es un registro de los antepasados de Jesús el Mesías, descendiente de David y de Abraham:"
23142,Mateo,1,2,2 Abraham fue el padre de Isaac. Isaac fue el padre de Jacob. Jacob fue el padre de Judá y de sus hermanos.
23143,Mateo,1,3,3 Judá fue el padre de Fares y de Zera (la madre fue Tamar). Fares fue el padre de Hezrón. Hezrón fue el padre de Ram.
23144,Mateo,1,4,4 Ram fue el padre de Aminadab. Aminadab fue el padre de Naasón. Naasón fue el padre de Salmón.
23145,Mateo,1,5,5 Salmón fue el padre de Booz (su madre fue Rahab). Booz fue el padre de Obed (su madre fue Rut). Obed fue el padre de Isaí.
23146,Mateo,1,6,"6 Isaí fue el padre del rey David. David fue el padre de Salomón (su madre fue Betsabé, la viuda de Urías)."
23147,Mateo,1,7,7 Salomón fue el padre de Roboam. Roboam fue el padre de Abías. Abías fue el padre de Asá.
23148,Mateo,1,8,8 Asá fue el padre de Josafat. Josafat fue el padre de Yoram. Yoram fue el padre de Uzías.
23149,Mateo,1,9,9 Uzías fue el padre de Jotam. Jotam fue el padre de Acaz. Acaz fue el padre de Ezequías.
23150,Mateo,1,10,10 Ezequías fue el padre de Manasés. Manasés fue el padre de Amós. Amós fue el padre de Josías.
23151,Mateo,1,11,11 Josías fue el padre de Joaquín y de sus hermanos (quienes nacieron en el tiempo del destierro a Babilonia).
23152,Mateo,1,12,12 Luego del destierro a Babilonia: Joaquín fue el padre de Salatiel. Salatiel fue el padre de Zorobabel.
23153,Mateo,1,13,13 Zorobabel fue el padre de Abiud. Abiud fue el padre de Eliaquim. Eliaquim fue el padre de Azor.
23154,Mateo,1,14,14 Azor fue el padre de Sadoc. Sadoc fue el padre de Aquim. Aquim fue el padre de Eliud.
23155,Mateo,1,15,15 Eliud fue el padre de Eleazar. Eleazar fue el padre de Matán. Matán fue el padre de Jacob.
23156,Mateo,1,16,"16 Jacob fue el padre de José, esposo de María. María dio a luz a Jesús, quien es llamado el Mesías."
23157,Mateo,1,17,"17 Todos los que aparecen en la lista abarcan catorce generaciones desde Abraham hasta David, catorce desde David hasta el destierro a Babilonia, y catorce desde el destierro a Babilonia hasta el Mesías."
23158,Mateo,1,18,"18 Nacimiento de Jesús el Mesías Este es el relato de cómo nació Jesús el Mesías. Su madre, María, estaba comprometida para casarse con José, pero antes de que la boda se realizara, mientras todavía era virgen, quedó embarazada mediante el poder del Espíritu Santo."
23159,Mateo,1,19,"19 José, su prometido, era un hombre bueno y no quiso avergonzarla en público; por lo tanto, decidió romper el compromiso en privado."
23160,Mateo,1,20,"20 Mientras consideraba esa posibilidad, un ángel del Señor se le apareció en un sueño. «José, hijo de David —le dijo el ángel—, no tengas miedo de recibir a María por esposa, porque el niño que lleva dentro de ella fue concebido por el Espíritu Santo."
23161,Mateo,1,21,"21 Y tendrá un hijo y lo llamarás Jesús, porque él salvará a su pueblo de sus pecados»."
23162,Mateo,1,22,22 Todo eso sucedió para que se cumpliera el mensaje del Señor a través de su profeta:
23163,Mateo,1,23,"23 «¡Miren! ¡La virgen concebirá un niño! Dará a luz un hijo, y lo llamarán Emanuel, que significa “Dios está con nosotros”»."
23164,Mateo,1,24,"24 Cuando José despertó, hizo como el ángel del Señor le había ordenado y recibió a María por esposa,"
23165,Mateo,1,25,25 pero no tuvo relaciones sexuales con ella hasta que nació su hijo; y José le puso por nombre Jesús.
